Id,Expected
0,True
1,True
2,True
3,False
4,True
5,True
6,False
7,False
8,True
9,True
10,True
11,False
12,True
13,False
14,False
15,False
16,False
17,True
18,True
19,False
20,True
21,True
22,True
23,False
24,True
25,False
26,True
27,True
28,True
29,True
30,True
31,True
32,False
33,False
34,False
35,True
36,True
37,True
38,False
39,False
40,False
41,True
42,False
43,True
44,True
45,True
46,True
47,True
48,True
49,False
50,True
51,False
52,False
53,False
54,True
55,True
56,True
57,True
58,False
59,False
60,True
61,True
62,True
63,True
64,False
65,True
66,True
67,False
68,True
69,True
70,True
71,True
72,False
73,True
74,True
75,False
76,True
77,True
78,False
79,False
80,True
81,True
82,True
83,True
84,False
85,True
86,True
87,True
88,False
89,True
90,True
91,True
92,True
93,True
94,False
95,True
96,False
97,True
98,True
99,True
100,True
101,True
102,False
103,False
104,True
105,False
106,True
107,True
108,True
109,False
110,False
111,False
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,False
124,True
125,False
126,True
127,False
128,False
129,True
130,True
131,False
132,True
133,False
134,True
135,False
136,True
137,True
138,True
139,True
140,True
141,True
142,False
143,True
144,False
145,True
146,False
147,False
148,True
149,True
150,False
151,True
152,True
153,False
154,False
155,True
156,True
157,False
158,False
159,True
160,True
161,True
162,True
163,True
164,False
165,False
166,True
167,False
168,True
169,True
170,True
171,True
172,True
173,False
174,True
175,True
176,False
177,False
178,False
179,True
180,True
181,False
182,True
183,True
184,False
185,False
186,True
187,False
188,False
189,False
190,True
191,False
192,True
193,True
194,True
195,True
196,True
197,True
198,True
199,False
200,True
201,True
202,True
203,True
204,False
205,False
206,True
207,True
208,True
209,True
210,True
211,False
212,True
213,True
214,False
215,True
216,False
217,True
218,True
219,True
220,True
221,True
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,False
234,True
235,True
236,True
237,False
238,False
239,True
240,False
241,False
242,True
243,True
244,False
245,True
246,True
247,False
248,False
249,True
250,True
251,False
252,True
253,True
254,False
255,True
256,True
257,False
258,True
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,False
267,True
268,True
269,False
270,False
271,True
272,False
273,True
274,False
275,True
276,False
277,False
278,True
279,True
280,False
281,True
282,True
283,False
284,True
285,True
286,True
287,False
288,False
289,False
290,True
291,True
292,True
293,True
294,False
295,True
296,True
297,False
298,False
299,False
300,True
301,True
302,False
303,True
304,False
305,False
306,False
307,True
308,False
309,True
310,False
311,True
312,True
313,True
314,True
315,False
316,True
317,True
318,True
319,True
320,True
321,True
322,False
323,False
324,True
325,True
326,False
327,True
328,True
329,False
330,True
331,True
332,False
333,False
334,False
335,True
336,False
337,True
338,True
339,True
340,True
341,False
342,True
343,True
344,False
345,True
346,True
347,True
348,False
349,True
350,True
351,False
352,True
353,True
354,True
355,True
356,False
357,False
358,True
359,True
360,True
361,False
362,True
363,True
364,False
365,False
366,False
367,False
368,True
369,True
370,False
371,True
372,False
373,False
374,False
375,True
376,False
377,False
378,False
379,True
380,False
381,True
382,True
383,False
384,False
385,False
386,False
387,False
388,True
389,False
390,True
391,True
392,True
393,False
394,True
395,True
396,False
397,True
398,True
399,True
400,True
401,False
402,True
403,True
404,True
405,True
406,True
407,False
408,False
409,True
410,False
411,True
412,True
413,True
414,True
415,False
416,False
417,False
418,True
419,False
420,True
421,False
422,False
423,True
424,False
425,True
426,True
427,False
428,True
429,False
430,True
431,False
432,True
433,True
434,True
435,False
436,False
437,True
438,False
439,True
440,True
441,True
442,True
443,False
444,False
445,False
446,False
447,True
448,True
449,False
450,True
451,False
452,True
453,False
454,False
455,True
456,False
457,False
458,True
459,True
460,True
461,True
462,True
463,True
464,True
465,False
466,True
467,True
468,True
469,True
470,False
471,False
472,True
473,False
474,True
475,True
476,True
477,True
478,False
479,True
480,True
481,True
482,True
483,False
484,True
485,True
486,False
487,True
488,True
489,False
490,True
491,False
492,True
493,True
494,True
495,False
496,True
497,True
498,False
499,False
500,True
501,False
502,False
503,True
504,False
505,True
506,True
507,True
508,False
509,True
510,True
511,False
512,False
513,True
514,True
515,True
516,False
517,False
518,False
519,True
520,True
521,False
522,True
523,False
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,False
533,True
534,True
535,False
536,True
537,False
538,True
539,True
540,True
541,True
542,False
543,True
544,False
545,True
546,False
547,True
548,True
549,True
550,True
551,True
552,False
553,False
554,False
555,True
556,False
557,True
558,False
559,True
560,True
561,True
562,False
563,False
564,False
565,True
566,False
567,True
568,True
569,True
570,True
571,True
572,True
573,True
574,False
575,True
576,False
577,False
578,False
579,True
580,True
581,True
582,False
583,False
584,True
585,False
586,True
587,True
588,True
589,True
590,True
591,True
592,True
593,False
594,True
595,True
596,True
